categoria,region,fecha,variacion_mensual,variacion_interanual,indice,origen,unidad_medida,precio_promedio
"Aceites, grasas y manteca",Región Cuyo,2016-12,,,100.0,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2017-01,4.4,,104.4466,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2017-02,7.3,,112.0237,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2017-03,-0.7,,111.199,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2017-04,-0.2,,110.995,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2017-05,-1.8,,108.9804,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2017-06,-0.2,,108.7207,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2017-07,1.7,,110.5459,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2017-08,1.8,,112.5687,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2017-09,1.7,,114.4944,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2017-10,0.5,,115.0627,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2017-11,1.1,,116.3465,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2017-12,-0.8,15.4,115.3712,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2018-01,2.4,13.1,118.0973,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2018-02,0.1,5.5,118.1994,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2018-03,2.7,9.2,121.4369,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2018-04,6.8,16.9,129.7167,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2018-05,4.2,24.0,135.1713,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2018-06,6.6,32.5,144.0754,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2018-07,8.9,41.9,156.8756,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2018-08,6.8,48.8,167.5313,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2018-09,10.6,61.9,185.3497,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2018-10,4.3,68.1,193.3786,variaciones,,
"Aceites, grasas y manteca",Región Cuyo,2018-11,3.4,71.8,199.9192,variaciones,,
