cuadro,categoria,region,valor
Divisiones,Alimentos y bebidas no alcohólicas,GBA,23.400000000000002
Divisiones,Alimentos y bebidas no alcohólicas,Pampeana,28.599999999999998
Divisiones,Alimentos y bebidas no alcohólicas,NEA,35.3
Divisiones,Alimentos y bebidas no alcohólicas,NOA,34.699999999999996
Divisiones,Alimentos y bebidas no alcohólicas,Cuyo,28.4
Divisiones,Alimentos y bebidas no alcohólicas,Patagonia,27.400000000000002
Divisiones,Bebidas alcohólicas y tabaco,GBA,3.3000000000000003
Divisiones,Bebidas alcohólicas y tabaco,Pampeana,3.8
Divisiones,Bebidas alcohólicas y tabaco,NEA,3.5999999999999996
Divisiones,Bebidas alcohólicas y tabaco,NOA,3.1
Divisiones,Bebidas alcohólicas y tabaco,Cuyo,3.5999999999999996
Divisiones,Bebidas alcohólicas y tabaco,Patagonia,3.5000000000000004
Divisiones,Prendas de vestir y calzado,GBA,8.5
Divisiones,Prendas de vestir y calzado,Pampeana,10.4
Divisiones,Prendas de vestir y calzado,NEA,11.600000000000001
Divisiones,Prendas de vestir y calzado,NOA,12.4
Divisiones,Prendas de vestir y calzado,Cuyo,11.4
Divisiones,Prendas de vestir y calzado,Patagonia,12.8
Divisiones,"Vivienda, agua, electricidad, gas y otros combustibles",GBA,10.5
Divisiones,"Vivienda, agua, electricidad, gas y otros combustibles",Pampeana,8.7
Divisiones,"Vivienda, agua, electricidad, gas y otros combustibles",NEA,8.1
Divisiones,"Vivienda, agua, electricidad, gas y otros combustibles",NOA,7.000000000000001
Divisiones,"Vivienda, agua, electricidad, gas y otros combustibles",Cuyo,8.9
Divisiones,"Vivienda, agua, electricidad, gas y otros combustibles",Patagonia,10.100000000000001
Divisiones,Equipamiento y mantenimiento del hogar,GBA,6.3
Divisiones,Equipamiento y mantenimiento del hogar,Pampeana,6.3
Divisiones,Equipamiento y mantenimiento del hogar,NEA,7.8
Divisiones,Equipamiento y mantenimiento del hogar,NOA,6.1
Divisiones,Equipamiento y mantenimiento del hogar,Cuyo,6.3
Divisiones,Equipamiento y mantenimiento del hogar,Patagonia,6.5
Divisiones,Salud,GBA,8.799999999999999
Divisiones,Salud,Pampeana,8.200000000000001
Divisiones,Salud,NEA,5.3
Divisiones,Salud,NOA,6.3
Divisiones,Salud,Cuyo,7.3999999999999995
Divisiones,Salud,Patagonia,5.0
Divisiones,Transporte,GBA,11.600000000000001
Divisiones,Transporte,Pampeana,10.4
Divisiones,Transporte,NEA,9.6
Divisiones,Transporte,NOA,8.4
Divisiones,Transporte,Cuyo,12.1
Divisiones,Transporte,Patagonia,13.4
Divisiones,Comunicaciones,GBA,2.8000000000000003
Divisiones,Comunicaciones,Pampeana,2.9000000000000004
Divisiones,Comunicaciones,NEA,2.8000000000000003
Divisiones,Comunicaciones,NOA,2.6
Divisiones,Comunicaciones,Cuyo,2.5
Divisiones,Comunicaciones,Patagonia,3.2
Divisiones,Recreación y cultura,GBA,7.5
Divisiones,Recreación y cultura,Pampeana,7.3999999999999995
Divisiones,Recreación y cultura,NEA,6.2
Divisiones,Recreación y cultura,NOA,5.8999999999999995
Divisiones,Recreación y cultura,Cuyo,6.7
Divisiones,Recreación y cultura,Patagonia,7.8
Divisiones,Educación,GBA,3.0
Divisiones,Educación,Pampeana,1.6
Divisiones,Educación,NEA,1.4000000000000001
Divisiones,Educación,NOA,2.0
Divisiones,Educación,Cuyo,2.1999999999999997
Divisiones,Educación,Patagonia,2.1
Divisiones,Restaurantes y hoteles,GBA,10.8
Divisiones,Restaurantes y hoteles,Pampeana,8.1
Divisiones,Restaurantes y hoteles,NEA,5.0
Divisiones,Restaurantes y hoteles,NOA,8.0
Divisiones,Restaurantes y hoteles,Cuyo,6.800000000000001
Divisiones,Restaurantes y hoteles,Patagonia,5.1
Divisiones,Bienes y servicios varios,GBA,3.5999999999999996
Divisiones,Bienes y servicios varios,Pampeana,3.5999999999999996
Divisiones,Bienes y servicios varios,NEA,3.3000000000000003
Divisiones,Bienes y servicios varios,NOA,3.4000000000000004
Divisiones,Bienes y servicios varios,Cuyo,3.5999999999999996
Divisiones,Bienes y servicios varios,Patagonia,3.1
Divisiones,Importancia relativa de la región en el total nacional,GBA,44.67
Divisiones,Importancia relativa de la región en el total nacional,Pampeana,34.19
Divisiones,Importancia relativa de la región en el total nacional,NEA,4.51
Divisiones,Importancia relativa de la región en el total nacional,NOA,6.88
Divisiones,Importancia relativa de la región en el total nacional,Cuyo,5.18
Divisiones,Importancia relativa de la región en el total nacional,Patagonia,4.569999999999999
Principales aperturas,Nivel general,GBA,100.0
Principales aperturas,Nivel general,Pampeana,100.0
Principales aperturas,Nivel general,Noreste,100.0
Principales aperturas,Nivel general,Noroeste,100.0
Principales aperturas,Nivel general,Cuyo,100.0
Principales aperturas,Nivel general,Patagonia,100.0
Principales aperturas,Alimentos y bebidas no alcohólicas,GBA,23.400000000000002
Principales aperturas,Alimentos y bebidas no alcohólicas,Pampeana,28.599999999999998
Principales aperturas,Alimentos y bebidas no alcohólicas,Noreste,35.3
Principales aperturas,Alimentos y bebidas no alcohólicas,Noroeste,34.699999999999996
Principales aperturas,Alimentos y bebidas no alcohólicas,Cuyo,28.4
Principales aperturas,Alimentos y bebidas no alcohólicas,Patagonia,27.400000000000002
Principales aperturas,Alimentos,GBA,20.3
Principales aperturas,Alimentos,Pampeana,25.7
Principales aperturas,Alimentos,Noreste,31.7
Principales aperturas,Alimentos,Noroeste,30.3
Principales aperturas,Alimentos,Cuyo,25.5
Principales aperturas,Alimentos,Patagonia,24.8
Principales aperturas,Pan y cereales,GBA,4.1000000000000005
Principales aperturas,Pan y cereales,Pampeana,5.0
Principales aperturas,Pan y cereales,Noreste,6.6000000000000005
Principales aperturas,Pan y cereales,Noroeste,6.5
Principales aperturas,Pan y cereales,Cuyo,5.2
Principales aperturas,Pan y cereales,Patagonia,4.6
Principales aperturas,Carnes y derivados,GBA,7.000000000000001
Principales aperturas,Carnes y derivados,Pampeana,9.8
Principales aperturas,Carnes y derivados,Noreste,13.3
Principales aperturas,Carnes y derivados,Noroeste,12.5
Principales aperturas,Carnes y derivados,Cuyo,10.299999999999999
Principales aperturas,Carnes y derivados,Patagonia,9.9
Principales aperturas,"Leche, productos lácteos y huevos",GBA,3.5000000000000004
Principales aperturas,"Leche, productos lácteos y huevos",Pampeana,3.6999999999999997
Principales aperturas,"Leche, productos lácteos y huevos",Noreste,4.1000000000000005
Principales aperturas,"Leche, productos lácteos y huevos",Noroeste,3.6999999999999997
Principales aperturas,"Leche, productos lácteos y huevos",Cuyo,3.5999999999999996
Principales aperturas,"Leche, productos lácteos y huevos",Patagonia,3.6999999999999997
Principales aperturas,"Aceites, grasas y manteca",GBA,0.5
Principales aperturas,"Aceites, grasas y manteca",Pampeana,0.8
Principales aperturas,"Aceites, grasas y manteca",Noreste,0.8999999999999999
Principales aperturas,"Aceites, grasas y manteca",Noroeste,0.6
Principales aperturas,"Aceites, grasas y manteca",Cuyo,0.7000000000000001
Principales aperturas,"Aceites, grasas y manteca",Patagonia,0.6
Principales aperturas,Frutas,GBA,1.3
Principales aperturas,Frutas,Pampeana,1.5
Principales aperturas,Frutas,Noreste,1.5
Principales aperturas,Frutas,Noroeste,1.5
Principales aperturas,Frutas,Cuyo,1.0999999999999999
Principales aperturas,Frutas,Patagonia,1.3
Principales aperturas,"Verduras, tubérculos y legumbres",GBA,2.1999999999999997
Principales aperturas,"Verduras, tubérculos y legumbres",Pampeana,2.9000000000000004
Principales aperturas,"Verduras, tubérculos y legumbres",Noreste,3.5999999999999996
Principales aperturas,"Verduras, tubérculos y legumbres",Noroeste,3.5999999999999996
Principales aperturas,"Verduras, tubérculos y legumbres",Cuyo,2.8000000000000003
Principales aperturas,"Verduras, tubérculos y legumbres",Patagonia,2.7
Principales aperturas,"Azúcar, dulces, chocolate, golosinas, etc.",GBA,1.0
Principales aperturas,"Azúcar, dulces, chocolate, golosinas, etc.",Pampeana,1.2
Principales aperturas,"Azúcar, dulces, chocolate, golosinas, etc.",Noreste,1.0999999999999999
Principales aperturas,"Azúcar, dulces, chocolate, golosinas, etc.",Noroeste,1.2
Principales aperturas,"Azúcar, dulces, chocolate, golosinas, etc.",Cuyo,1.0
Principales aperturas,"Azúcar, dulces, chocolate, golosinas, etc.",Patagonia,1.0
Principales aperturas,Bebidas no alcohólicas,GBA,3.1
Principales aperturas,Bebidas no alcohólicas,Pampeana,2.9000000000000004
Principales aperturas,Bebidas no alcohólicas,Noreste,3.5999999999999996
Principales aperturas,Bebidas no alcohólicas,Noroeste,4.3999999999999995
Principales aperturas,Bebidas no alcohólicas,Cuyo,2.9000000000000004
Principales aperturas,Bebidas no alcohólicas,Patagonia,2.7
Principales aperturas,"Café, té, yerba y cacao",GBA,0.7000000000000001
Principales aperturas,"Café, té, yerba y cacao",Pampeana,0.8
Principales aperturas,"Café, té, yerba y cacao",Noreste,0.8999999999999999
Principales aperturas,"Café, té, yerba y cacao",Noroeste,0.6
Principales aperturas,"Café, té, yerba y cacao",Cuyo,0.7000000000000001
Principales aperturas,"Café, té, yerba y cacao",Patagonia,0.7000000000000001
Principales aperturas,"Aguas minerales, bebidas gaseosas y jugos",GBA,2.4
Principales aperturas,"Aguas minerales, bebidas gaseosas y jugos",Pampeana,2.1
Principales aperturas,"Aguas minerales, bebidas gaseosas y jugos",Noreste,2.7
Principales aperturas,"Aguas minerales, bebidas gaseosas y jugos",Noroeste,3.6999999999999997
